Origen;Destino;Ayuda AIRE (tn);Ayuda TIERRA (tn);Ayuda MAR (tn);Ayuda Total (tn)
SAN_PABLO;SAN_PABLO;0,0;0,0;0,0;0,0
SAN_PABLO;PANAMA;0,0;0,0;0,0;0,0
SAN_PABLO;NUEVA_YORK;0,0;0,0;0,0;0,0
SAN_PABLO;AMSTERDAM;0,0;0,0;0,0;0,0
SAN_PABLO;ESTAMBUL;0,0;0,0;0,0;0,0
SAN_PABLO;TOKIO;0,0;0,0;0,0;0,0
PANAMA;SAN_PABLO;0,0;0,0;0,0;0,0
PANAMA;PANAMA;0,0;0,0;0,0;0,0
PANAMA;NUEVA_YORK;0,0;0,0;0,0;0,0
PANAMA;AMSTERDAM;0,0;0,0;0,0;0,0
PANAMA;ESTAMBUL;0,0;0,0;0,0;0,0
PANAMA;TOKIO;0,0;0,0;0,0;0,0
NUEVA_YORK;SAN_PABLO;0,0;0,0;0,0;0,0
NUEVA_YORK;PANAMA;0,0;0,0;0,0;0,0
NUEVA_YORK;NUEVA_YORK;0,0;0,0;0,0;0,0
NUEVA_YORK;AMSTERDAM;0,0;0,0;0,0;0,0
NUEVA_YORK;ESTAMBUL;0,0;0,0;0,0;0,0
NUEVA_YORK;TOKIO;0,0;0,0;0,0;0,0
AMSTERDAM;SAN_PABLO;0,0;0,0;0,0;0,0
AMSTERDAM;PANAMA;0,0;0,0;0,0;0,0
AMSTERDAM;NUEVA_YORK;0,0;0,0;0,0;0,0
AMSTERDAM;AMSTERDAM;0,0;0,0;0,0;0,0
AMSTERDAM;ESTAMBUL;0,0;0,0;0,0;0,0
AMSTERDAM;TOKIO;0,0;0,0;0,0;0,0
ESTAMBUL;SAN_PABLO;0,0;0,0;0,0;0,0
ESTAMBUL;PANAMA;0,0;0,0;0,0;0,0
ESTAMBUL;NUEVA_YORK;0,0;0,0;0,0;0,0
ESTAMBUL;AMSTERDAM;0,0;0,0;0,0;0,0
ESTAMBUL;ESTAMBUL;0,0;0,0;0,0;0,0
ESTAMBUL;TOKIO;0,0;0,0;0,0;0,0
TOKIO;SAN_PABLO;0,0;0,0;0,0;0,0
TOKIO;PANAMA;0,0;0,0;0,0;0,0
TOKIO;NUEVA_YORK;0,0;0,0;0,0;0,0
TOKIO;AMSTERDAM;0,0;0,0;198,208;198,208
TOKIO;ESTAMBUL;0,0;0,0;783,792;783,792
TOKIO;TOKIO;0,0;0,0;0,0;0,0
