Centro;Destino;Ayuda AIRE (tn);Ayuda TIERRA (tn);Ayuda MAR (tn);Ayuda Total (tn)
SAN_PABLO;VARSOVIA;0,0;0,0;0,0;0,0
SAN_PABLO;BRATISLAVA;0,0;0,0;0,0;0,0
SAN_PABLO;BUCAREST;0,0;0,0;0,0;0,0
PANAMA;VARSOVIA;155,0;0,0;0,0;155,0
PANAMA;BRATISLAVA;0,0;0,0;0,0;0,0
PANAMA;BUCAREST;0,0;0,0;0,0;0,0
NUEVA_YORK;VARSOVIA;215,208;0,0;0,0;215,208
NUEVA_YORK;BRATISLAVA;0,0;0,0;0,0;0,0
NUEVA_YORK;BUCAREST;2090,0;0,0;0,0;2090,0
AMSTERDAM;VARSOVIA;2900,0;0,0;0,0;2900,0
AMSTERDAM;BRATISLAVA;0,0;0,0;0,0;0,0
AMSTERDAM;BUCAREST;0,0;0,0;0,0;0,0
ESTAMBUL;VARSOVIA;0,0;0,0;0,0;0,0
ESTAMBUL;BRATISLAVA;1900,0;0,0;0,0;1900,0
ESTAMBUL;BUCAREST;610,0;0,0;0,0;610,0
TOKIO;VARSOVIA;0,0;0,0;0,0;0,0
TOKIO;BRATISLAVA;0,0;0,0;0,0;0,0
TOKIO;BUCAREST;0,0;0,0;0,0;0,0
